source_page,edge_type,target_url,pillar,anchor
https://www.thermofisher.com/us/en/home/technical-resources/software-downloads/automated-thermal-cycler-atc-software.html,runs,https://www.thermofisher.com/content/lifetech/latin-america/en/home/life-science/pcr/real-time-pcr/real-time-pcr-assays.html,P3,TaqMan Real-Time PCR Assays
https://www.thermofisher.com/us/en/home/technical-resources/software-downloads/automated-thermal-cycler-atc-software.html,has_driver,https://www.thermofisher.com/th/en/home/technical-resources/software-downloads.html,P2,Software Downloads
https://www.thermofisher.com/us/en/home/technical-resources/software-downloads/automated-thermal-cycler-atc-software.html,has_driver,https://downloads.thermofisher.com/ATC/v1.2.3/ATC-Firmware-123-release-notes.docx,P2,Release notes
https://www.thermofisher.com/us/en/home/technical-resources/software-downloads/automated-thermal-cycler-atc-software.html,has_driver,https://downloads.thermofisher.com/ATC_1.2.2_update/ATC-Firmware-122-release-notes.docx,P2,Release notes
https://www.thermofisher.com/us/en/home/technical-resources/software-downloads/automated-thermal-cycler-atc-software.html,has_driver,https://downloads.thermofisher.com/ATC/V1.2.1Update/ATC-Firmware-121-release-notes.docx,P2,Release notes
https://www.thermofisher.com/us/en/home/technical-resources/software-downloads/automated-thermal-cycler-atc-software.html,has_driver,https://downloads.thermofisher.com/ATC/ATC-Firmware-120-release-notes.docx,P2,Release notes
https://www.thermofisher.com/us/en/home/technical-resources/software-downloads/automated-thermal-cycler-atc-software.html,has_driver,https://downloads.thermofisher.com/ATC/v1.1.3/ATC-Firmware-113-release-notes.docx,P2,Release notes
https://www.thermofisher.com/us/en/home/technical-resources/software-downloads/ibright-western-imager.html,runs,https://www.thermofisher.com/content/lifetech/latin-america/en/home/life-science/pcr/real-time-pcr/real-time-pcr-assays.html,P3,TaqMan Real-Time PCR Assays
https://www.thermofisher.com/us/en/home/technical-resources/software-downloads/ibright-western-imager.html,has_driver,https://www.thermofisher.com/th/en/home/technical-resources/software-downloads.html,P2,Software Downloads
https://www.thermofisher.com/us/en/home/technical-resources/software-downloads/ibright-western-imager.html,has_driver,https://downloads.thermofisher.com/iBright/v1.8.2/iBright-1.8.2.update,P2,Download iBright Firmware 1.8.2
https://www.thermofisher.com/us/en/home/technical-resources/software-downloads/ibright-western-imager.html,has_driver,https://www.thermofisher.com/th/en/home/global/forms/life-science/ibright-analysis-software-secure-desktop-software-download-request.html,P2,"Download iBright Analysis Software Solution, Secure, Desktop Version 5.6.0"
https://www.thermofisher.com/us/en/home/technical-resources/software-downloads/converge-software.html,runs,https://www.thermofisher.com/content/lifetech/latin-america/en/home/life-science/pcr/real-time-pcr/real-time-pcr-assays.html,P3,TaqMan Real-Time PCR Assays
https://www.thermofisher.com/us/en/home/technical-resources/software-downloads/converge-software.html,has_driver,https://www.thermofisher.com/th/en/home/technical-resources/software-downloads.html,P2,Software Downloads
https://www.thermofisher.com/us/en/home/technical-resources/software-downloads/converge-software.html,runs,https://www.thermofisher.com/content/dam/LifeTech/Documents/ZIP/STR-SNP-Combination-Panel-Workflow.zip,P3,Download
https://www.thermofisher.com/us/en/home/technical-resources/software-downloads/miniamp-firmware.html,runs,https://www.thermofisher.com/content/lifetech/europe-other/en/home/life-science/pcr/real-time-pcr/real-time-pcr-assays.html,P3,TaqMan Real-Time PCR Assays
https://www.thermofisher.com/us/en/home/technical-resources/software-downloads/miniamp-firmware.html,has_driver,https://www.thermofisher.com/th/en/home/technical-resources/software-downloads.html,P2,Software Downloads
https://www.thermofisher.com/us/en/home/technical-resources/software-downloads/miniamp-firmware.html,has_driver,https://downloads.thermofisher.com/MiniAmp_1.3.2/MiniAmp-firmware-132-release-notes.docx,P2,Release notes
https://www.thermofisher.com/us/en/home/technical-resources/software-downloads/miniamp-firmware.html,has_driver,https://downloads.thermofisher.com/MiniAmp_1.3.1/MiniAmp-firmware-131-release-notes.docx,P2,Release notes
https://www.thermofisher.com/us/en/home/technical-resources/software-downloads/miniamp-firmware.html,has_driver,https://downloads.thermofisher.com/MiniAmp_1.3.0/MiniAmp-firmware-130-release-notes.docx,P2,Release notes
https://www.thermofisher.com/us/en/home/technical-resources/software-downloads/miniamp-firmware.html,has_driver,https://downloads.thermofisher.com/MiniAmp_1.2.4/MiniAmp-firmware-124-release-notes.docx,P2,Release notes
https://www.thermofisher.com/us/en/home/technical-resources/software-downloads/miniamp-firmware.html,has_driver,https://downloads.thermofisher.com/firmware/MiniAmp/1.2.2/MiniAmp-1.2.2.update,P2,Download
https://www.thermofisher.com/us/en/home/technical-resources/software-downloads/miniamp-firmware.html,has_driver,https://downloads.thermofisher.com/firmware/MiniAmp/1.2.2/MiniAmp-firmware-122-release-notes.docx,P2,Release notes
https://www.thermofisher.com/us/en/home/technical-resources/software-downloads/miniamp-firmware.html,has_driver,https://downloads.thermofisher.com/firmware/MiniAmp/1.1.3/MiniAmp-1.1.3.update,P2,Download
https://www.thermofisher.com/us/en/home/technical-resources/software-downloads/miniamp-firmware.html,has_driver,https://downloads.thermofisher.com/firmware/MiniAmp/1.1.3/MiniAmp-firmware-113-release-notes.docx,P2,Release notes
https://www.thermofisher.com/us/en/home/technical-resources/software-downloads/iblot-2-gel-transfer-device.html,runs,https://www.thermofisher.com/content/lifetech/latin-america/en/home/life-science/pcr/real-time-pcr/real-time-pcr-assays.html,P3,TaqMan Real-Time PCR Assays
https://www.thermofisher.com/us/en/home/technical-resources/software-downloads/iblot-2-gel-transfer-device.html,has_driver,https://www.thermofisher.com/th/en/home/technical-resources/software-downloads.html,P2,Software Downloads
